pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[17-1_vs_29-1]	14.1513	0	1.0	0.0	2	14.1513	0.0	UL	UN	UN	UN
[17-1_vs_29-2]	14.3652	0	1.0	0.0	2	14.3652	unrelated	unrelated		UN	UN
[17-1_vs_30-1]	35.710499	0	1.0	0.0	2	35.710499	0.0	UL	UN	UN	UN
[17-1_vs_30-2]	35.710499	0	1.0	0.0	2	35.710499	unrelated	unrelated		UN	UN
[17-1_vs_31-1]	14.703545	0	1.0	0.0	2	14.703545	unrelated	unrelated	UN	UN	UN
[17-1_vs_31-2]	14.703545	0	1.0	0.0	2	14.703545	unrelated	unrelated		UN	UN
[17-1_vs_32-2]	8.790085	0	1.0	0.0	1	8.790085	unrelated	unrelated		UN	UN
[17-1_vs_33-1]	21.774243	0	1.0	0.0	2	21.774243	unrelated	unrelated	UN	UN	UN
[17-1_vs_33-2]	22.100476	0	1.0	0.0	2	22.100476	unrelated	unrelated		UN	UN
[17-1_vs_34-1]	12.989948	0	1.0	0.0	2	12.989948	unrelated	unrelated	UN	UN	UN
[17-1_vs_34-2]	31.643012	0	1.0	0.0	4	31.643012	unrelated	unrelated		UN	UN
[17-1_vs_35-2]	49.307286000000005	0	1.0	0.0	3	49.307286000000005	unrelated	unrelated		UN	UN
[17-1_vs_36-2]	22.858689	0	1.0	0.0	3	22.858689	unrelated	unrelated		UN	UN
[17-1_vs_37-2]	8.287243	0	1.0	0.0	1	8.287243	unrelated	unrelated		UN	UN
[17-1_vs_38-1]	8.287243	0	1.0	0.0	1	8.287243	unrelated	unrelated	UN	UN	UN
[17-1_vs_38-2]	8.287243	0	1.0	0.0	1	8.287243	unrelated	unrelated		UN	UN
[17-1_vs_39-2]	8.320927	0	1.0	0.0	1	8.320927	unrelated	unrelated		UN	UN
[17-1_vs_40-1]	38.78222	0	1.0	0.0	4	38.78222	unrelated	unrelated		UN	UN
[17-1_vs_41-1]	27.905033000000003	0	1.0	0.0	3	27.905033000000003	unrelated	unrelated	UN	UN	UN
[17-1_vs_41-2]	27.905033000000003	0	1.0	0.0	3	27.905033000000003	unrelated	unrelated		UN	UN
[17-1_vs_42-1]	17.766236	0	1.0	0.0	2	17.766236	unrelated	unrelated	UN	UN	UN
[17-1_vs_42-2]	25.969922	0	1.0	0.0	3	25.969922	unrelated	unrelated		UN	UN
[17-1_vs_43-1]	27.100882	0	1.0	0.0	4	27.100882	unrelated	unrelated	UN	UN	UN
[17-1_vs_43-2]	27.100882	0	1.0	0.0	4	27.100882	unrelated	unrelated		UN	UN
[17-1_vs_44-1]	40.958782	0	1.0	0.0	5	40.958782	unrelated	unrelated	UN	UN	UN
[17-1_vs_44-2]	40.958782	0	1.0	0.0	5	40.958782	unrelated	unrelated		UN	UN
[17-1_vs_45-1]	14.026013	0	1.0	0.0	2	14.026013	unrelated	unrelated		UN	UN
